,,,,,
h = 0.05 ,k = 2.0,,,,
Error ,1.055292,,,,
,,,,,
,,k = 4,K =8,K=16,K=32
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Sum of Absolute Errors,,,,
Mesh Size,K = 2,K = 4,K = 8,K = 16,K = 32
0.01,5.07580053,5.025649298,4.942662243,4.78123675,4.463883093
0.025,2.060597036,2.040670733,2.007523412,1.943311268,2.020504077
0.04,1.305756683,1.294434145,1.273785812,1.236529479,1.69153122
0.05,1.055292,1.04569246,1.029252255,1.086744009,11.36046376
0.075,0.703755506,0.697466994,0.687471002,0.725085422,1.361559651
0.5,0.151654712,0.138726461,4.349043021,1.082094829,135.3575415
